帳列科目,有價證券,有價證券名稱,持有公司,期末,,,,
按攤銷後成本衡量之金融資產－非流動,債券,Cathay Life Insurance.,旭展(香港)投資有限公司,-,"USD 30,000",-,"USD 30,747",-
按攤銷後成本衡量之金融資產－非流動,債券,Citigroup Inc.,旭展(香港)投資有限公司,-,"USD 149,600",-,"USD 149,214",-
按攤銷後成本衡量之金融資產－非流動,債券,Crédit Agricole,Hsu Fa (Samoa) Investment Ltd.,-,"CNY 298,000",-,"CNY 306,385",-
按攤銷後成本衡量之金融資產－非流動,債券,Foxconn Technology Group,旭展(香港)投資有限公司,-,"USD 22,269",-,"USD 22,341",-
按攤銷後成本衡量之金融資產－非流動,債券,HSBC Holdings plc,旭展(香港)投資有限公司,-,"USD 29,521",-,"USD 28,909",-
按攤銷後成本衡量之金融資產－非流動,債券,"ING Group, N.V.",旭展(香港)投資有限公司,-,"USD 19,545",-,"USD 18,806",-
按攤銷後成本衡量之金融資產－非流動,債券,International Business Machines Corporation,旭展(香港)投資有限公司,-,"USD 52,246",-,"USD 51,163",-
按攤銷後成本衡量之金融資產－非流動,債券,JPMorgan Chase & Co.,旭展(香港)投資有限公司,-,"USD 200,262",-,"USD 202,353",-
按攤銷後成本衡量之金融資產－非流動,債券,"KGI Securities Co., Ltd.",聯發科技(股)公司,-,"$ 580,000",-,"$ 576,465",-
按攤銷後成本衡量之金融資產－非流動,債券,"Mitsubishi UFJ Financial Group, Inc.",旭展(香港)投資有限公司,-,"USD 103,284",-,"USD 101,420",-
按攤銷後成本衡量之金融資產－非流動,債券,"Mizuho Financial Group, Inc.",旭展(香港)投資有限公司,-,"USD 120,350",-,"USD 118,132",-
按攤銷後成本衡量之金融資產－非流動,債券,Morgan Stanley,旭展(香港)投資有限公司,-,"USD 179,506",-,"USD 176,902",-
按攤銷後成本衡量之金融資產－非流動,債券,National Bank of Canada,Hsu Fa (Samoa) Investment Ltd.,-,"CNY 1,488,000",-,"CNY 1,497,060",-
